rank,rating,trainer_name,blog_url,pokemon1_name,pokemon1_item,pokemon1_nature,pokemon1_ability,pokemon1_Ttype,pokemon1_moves,pokemon1_effort,pokemon2_name,pokemon2_item,pokemon2_nature,pokemon2_ability,pokemon2_Ttype,pokemon2_moves,pokemon2_effort,pokemon3_name,pokemon3_item,pokemon3_nature,pokemon3_ability,pokemon3_Ttype,pokemon3_moves,pokemon3_effort,pokemon4_name,pokemon4_item,pokemon4_nature,pokemon4_ability,pokemon4_Ttype,pokemon4_moves,pokemon4_effort,pokemon5_name,pokemon5_item,pokemon5_nature,pokemon5_ability,pokemon5_Ttype,pokemon5_moves,pokemon5_effort,pokemon6_name,pokemon6_item,pokemon6_nature,pokemon6_ability,pokemon6_Ttype,pokemon6_moves,pokemon6_effort
2,2128.469,無人島,https://ka-cr.hatenablog.com/entry/2025/11/01/121139,ルギア,たべのこし,ずぶとい,プレッシャー,ノーマル,"ふきとばし,じこさいせい,みがわり,サイコノイズ","236, 0, 236, 4, 4, 28",キラフロル,きあいのタスキ,おくびょう,どくげしょう,ゴースト,"キラースピン, どくびし, ステルスロック, マッドショット","132, 0, 124, 0, 0, 252",コライドン,いかさまダイス,ようき,ひひいろのこどう,はがね,"まもる, スケイルショット, アイアンヘッド, アクセルブレイク","0, 252, 4, 0, 0, 252",アローラベトベトン,くろいヘドロ,しんちょう,どくしゅ,どく,"はたきおとす, まもる, どくどくのキバ, クリアスモッグ","252, 4, 4, 0, 236, 12",ディンルー,オボンのみ,しんちょう,わざわいのうつわ,はがね,"ステルスロック, まきびし, ふきとばし, じしん","212, 4, 12, 0, 252, 28",ウーラオス(れんげき),パンチグローブ,わんぱく,ふかしのこぶし,みず,"すいりゅうれんだ, みがわり, アクアジェット, ドレインパンチ","12, 220, 252, 0, 4, 20"
6,2101.214,'S/' The Way,https://yinyangpoke.hatenablog.com/entry/2025/11/01/222354,ディンルー,たべのこし,わんぱく,わざわいのうつわ,どく,"じしん, カタストロフィ, まきびし, ちょうはつ","244, 0, 84, 0, 180, 0",バドレックス(こくば),こだわりスカーフ,おくびょう,じんばいったい,ゴースト,"アストラルビット, サイコキネシス, かふんだんご, トリック","76, 0, 76, 204, 12, 140",アルセウス,ラムのみ,ゆうかん,マルチタイプ,ひこう,"しんそく, じしん, くさむすび, つるぎのまい","220, 252, 20, 12, 4, 0",パオジアン,きあいのタスキ,いじっぱり,わざわいのつるぎ,でんき,"つららおとし, ふいうち, せいなるつるぎ, テラバースト","0, 252, 180, 0, 0, 76",ハッサム,ゴツゴツメット,わんぱく,テクニシャン,ノーマル,"バレットパンチ, とんぼがえり, つるぎのまい, きりばらい","252, 4, 252, 0, 0, 0",カイリュー,おんみつマント,いじっぱり,マルチスケイル,ノーマル,"げきりん, ドラゴンテール, しんそく, りゅうのまい","196, 252, 4, 0, 36, 20"
7,2098.786,アポロドロス,https://orion-poke.hatenablog.com/entry/2025/11/04/210436,ホウオウ,こだわりハチマキ,いじっぱり,さいせいりょく,フェアリー,"せいなるほのお, ブレイブバード, じしん, テラバースト","108, 236, 4, 0, 4, 156",アルセウス,せいれいプレート,おだやか,マルチタイプ,どく,"さばきのつぶて, ヘドロばくだん, でんじは, じこさいせい","252, 0, 4, 0, 252, 0",ヘイラッシャ,たべのこし,わんぱく,てんねん,はがね,"じわれ, ウェーブタックル, まもる, ねむる","252, 4, 236, 0, 4, 12",グライオン,どくどくだま,わんぱく,ポイズンヒール,フェアリー,"じしん, どくどく, みがわり, まもる","228, 4, 84, 0, 4, 188",ドオー,くろいヘドロ,おだやか,ちょすい,ゴースト,"だいちのちから, どくどく, まもる, じこさいせい","252, 0, 4, 4, 244, 4",ガラルマタドガス,おんみつマント,ずぶとい,かがくへんかガス,ひこう,"ワンダースチーム, どくどく, きりばらい, いたみわけ","252, 0, 244, 4, 4, 4"
9,2083.882,AttractLight,https://raypoke0319.hatenablog.com/entry/2025/11/05/181542,カイリュー,ゴツゴツメット,いじっぱり,マルチスケイル,ノーマル,"しんそく, ドラゴンテール, アンコール, はねやすめ","244, 68, 4, 0, 68, 124",キョジオーン,たべのこし,わんぱく,きよめのしお,フェアリー,"まもる, ステルスロック, じこさいせい, しおづけ","252, 0, 28, 0, 228, 0",バドレックス(こくば),きあいのタスキ,おくびょう,じんばいったい,くさ,"アストラルビット, くさむすび, わるだくみ, アンコール","0, 0, 4, 252, 0, 252",ディンルー,オボンのみ,わんぱく,わざわいのうつわ,でんき,"じしん, カタストロフィ, ステルスロック, ちょうはつ","212, 4, 4, 0, 220, 68",ザシアン(けんのおう),くちたけん,ようき,ふとうのけん,ノーマル,"きょじゅうざん, インファイト, こおりのキバ, つるぎのまい","188, 164, 0, 0, 0, 156",ウーラオス(れんげき),こだわりスカーフ,いじっぱり,ふかしのこぶし,みず,"すいりゅうれんだ, インファイト, がんせきふうじ, とんぼがえり","0, 252, 4, 0, 0, 252"
11,2076.606,けいと,https://note.com/k_poke/n/n7f80a8a7d49c,ムゲンダイナ,たべのこし,おくびょう,プレッシャー,フェアリー,"まもる, みがわり, じこさいせい, ヘドロばくだん","204, 0, 124, 0, 0, 180",カイオーガ,ゴツゴツメット,ずぶとい,あめふらし,フェアリー,"なみのり, かみなり, れいとうビーム, ねむる","252, 0, 252, 0, 4, 0",ドオー,くろいヘドロ,わんぱく,てんねん,ノーマル,"まもる, じしん, カウンター, じこさいせい","252, 0, 252, 0, 4, 0",ディンルー,とつげきチョッキ,しんちょう,わざわいのうつわ,はがね,"じしん, しっぺがえし, ヘビーボンバー, カタストロフィ","68, 188, 0, 0, 252, 0",ゴチルゼル,カゴのみ,ずぶとい,かげふみ,ひこう,"ちょうはつ, みがわり, ねむる, いやしのはどう","252, 0, 252, 0, 0, 4",メタモン,こだわりスカーフ,まじめ,かわりもの,ノーマル,へんしん,"252, 0, 0, 0, 0, 0"
21,2036.992,スカーレット,https://moriumapoke1.hatenablog.com/entry/2025/11/01/101531,バドレックス(こくば),こだわりメガネ,おくびょう,じんばいったい,じめん,"アストラルビット, サイコショック, くさむすび, テラバースト","60, 0, 4, 180, 12, 252",アルセウス,メンタルハーブ,いじっぱり,マルチタイプ,ほのお,"しんそく, じしん, りゅうのまい, いやしのねがい","92, 252, 84, 0, 4, 76",パオジアン,きあいのタスキ,いじっぱり,わざわいのつるぎ,でんき,"つららおとし, ふいうち, こおりのつぶて, テラバースト","0, 252, 4, 0, 0, 252",ランドロス(れいじゅう),ゴツゴツメット,のんき,いかく,みず,"じしん, とんぼがえり, ステルスロック, ちょうはつ","244, 12, 252, 0, 0, 0",キラフロル,レッドカード,ずぶとい,どくげしょう,フェアリー,"キラースピン, マッドショット, マジカルシャイン, こらえる","236, 0, 244, 0, 0, 28",キョジオーン,たべのこし,しんちょう,きよめのしお,くさ,"しおづけ, まもる, みがわり, じこさいせい","252, 0, 0, 236, 0, 20"
22,2036.038,いろはす,https://irohasu28.hatenadiary.com/entry/2025/11/02/162800,バドレックス(こくば),こだわりメガネ,おくびょう,じんばいったい,ドラゴン,"アストラルビット, サイコキネシス, くさむすび, トリック","124, 0, 4, 116, 12, 252",アルセウス,せいれいプレート,ずぶとい,マルチタイプ,ノーマル,"さばきのつぶて, アシッドボム, でんじは, じこさいせい","252, 0, 44, 52, 76, 84",ディンルー,オボンのみ,しんちょう,わざわいのうつわ,はがね,"じしん, まきびし, ステルスロック, ふきとばし","244, 4, 4, 0, 236, 20",ウーラオス(れんげき),こだわりハチマキ,いじっぱり,ふかしのこぶし,ノーマル,"すいりゅうれんだ, インファイト, とんぼがえり, アクアジェット","156, 188, 140, 0, 4, 20",ランドロス(れいじゅう),ゴツゴツメット,わんぱく,いかく,みず,"じしん, とんぼがえり, こわいかお, ちょうはつ","252, 0, 252, 0, 0, 4",パオジアン,きあいのタスキ,いじっぱり,わざわいのつるぎ,でんき,"つららおとし, テラバースト, せいなるつるぎ, こおりのつぶて","0, 252, 4, 0, 0, 252"
25,2032.123,ignite,https://wld.hatenablog.com/entry/2025/11/02/114514,アルセウス,せいれいプレート,おだやか,マルチタイプ,ノーマル,"さばきのつぶて, アシッドボム, でんじは, じこさいせい","252, 0, 100, 0, 156, 0",バドレックス(こくば),もののけプレート,おくびょう,じんばいったい,かくとう,"アストラルビット, やどりぎのタネ, みがわり, テラバースト","172, 0, 4, 76, 4, 252",ヘイラッシャ,たべのこし,わんぱく,てんねん,ほのお,"アクアブレイク, じしん, まもる, ねむる","252, 0, 252, 0, 4, 0",ドオー,オボンのみ,しんちょう,ちょすい,ゴースト,"じしん, じこさいせい, どくどく, どくびし","252, 0, 4, 0, 252, 0",グライオン,どくどくだま,しんちょう,ポイズンヒール,あく,"はたきおとす, ちょうはつ, みがわり, まもる","228, 0, 0, 0, 252, 28",メタモン,きあいのタスキ,なまいき,かわりもの,ノーマル,へんしん,"252, 0, 4, 0, 252, 0"
26,2031.134,和栗薰子,https://harubouzu11.hatenablog.com/entry/2025/11/04/165041,ルナアーラ,ゴツゴツメット,わんぱく,ファントムガード,みず,"シャドーレイ, おにび, トリックルーム, つきのひかり","252, 0, 244, 0, 0, 12",ミライドン,とつげきチョッキ,ひかえめ,ハドロンエンジン,でんき,"イナズマドライブ, りゅうせいぐん, パラボラチャージ, とんぼがえり","220, 0, 4, 36, 220, 28",ガラルマタドガス,たべのこし,ずぶとい,ふゆう,ノーマル,"ワンダースチーム, どくどく, まもる, きりばらい","252, 0, 220, 0, 36, 0",ウーラオス(れんげき),きあいのタスキ,いじっぱり,ふかしのこぶし,ゴースト,"すいりゅうれんだ, インファイト, アクアジェット, ちょうはつ","0, 252, 4, 0, 0, 252",パオジアン,つららのプレート,いじっぱり,わざわいのつるぎ,ほのお,"つららおとし, ふいうち, こおりのつぶて, つるぎのまい","108, 252, 44, 0, 4, 100",ディンルー,オボンのみ,わんぱく,わざわいのうつわ,どく,"じわれ, カタストロフィ, まきびし, ふきとばし","244, 0, 36, 0, 228, 0"
27,2030.733,踊樂園,https://amaniiii.hatenablog.com/entry/2025/11/01/172310,テラパゴス(テラスタル),ゴツゴツメット,ひかえめ,テラスシェル,ステラ,"テラクラスター, こうそくスピン, どくどく, ステルスロック","4, 0, 0, 252, 0, 252",アルセウス,だいちのプレート,いじっぱり,マルチタイプ,みず,"じしん, たきのぼり, りゅうのまい, ちょうはつ","92, 236, 60, 0, 4, 116",パオジアン,きあいのタスキ,いじっぱり,わざわいのつるぎ,ゴースト,"こおりのつぶて, つららおとし, かみくだく, つるぎのまい","0, 252, 4, 0, 0, 252",カイリュー,おんみつマント,いじっぱり,マルチスケイル,ノーマル,"しんそく, じしん, りゅうのまい, はねやすめ","212, 204, 0, 0, 0, 92",キョジオーン,たべのこし,わんぱく,きよめのしお,ゴースト,"しおづけ, のろい, まもる, じこさいせい","252, 0, 156, 0, 100, 0",ハバタクカミ,ブーストエナジー,おくびょう,こだいかっせい,ほのお,"ムーンフォース, マジカルフレイム, めいそう, いたみわけ","84, 0, 252, 36, 4, 132"
